Sum of Invoice Nett Amount,
Supplier Name,Total
Jardine Lloyd Thompson UK Ltd,3158049.77
Transport Trading Limited,3016387.00
Veolia ES (UK) Ltd,2308563.30
Morrison Facilities Services Ltd,1738045.50
Tesco Stores Ltd,1655143.00
United Residents Housing,1462994.40
Mears Limited,1432632.31
Focus Education (Lambeth) Ltd,924768.14
Matrix SCM Ltd,871684.00
Apollo Property Services Group Ld,774034.67
Loughborough Emb Ltd,660107.32
T Brown Group Ltd,658691.32
Zurich Municipal,657982.18
Mulalley & Co Ltd,608650.00
Frosts Landscape Construction ltd,587997.00
F M Conway Ltd,576936.08
Thomas Sinden Construction Ltd,561855.32
Carillion Capital Projects Ltd,485000.00
Lambeth Living Ltd,483403.26
Harrison Catering Services Ltd,456372.67
Allied Healthcare (Uk) Ltd,439196.22
NSL Limited,435760.37
British Telecommunications Plc,412440.55
Denhan International,398718.31
Oco Ltd,364753.63
ISG Jackson Limited,348650.00
Lengard Ltd,262000.00
Corona Gas,256089.72
Lambeth Lighting Services,252284.90
Windmill Care Centre,250187.81
Southside Partnership,246107.69
Limetree Healthcare Ltd,244603.11
Midos Estates Ltd,244532.33
Blakedown Landscapes (SE) Ltd,223606.00
RM Education plc,214541.93
Precision Lift Services Ltd,214329.52
Thames Reach Bondway,205713.64
Queens Oak Care Centre,203348.98
Metropolitan Support Trust,199136.71
British Gas Business,193320.87
The Hesley Group Ltd,191420.22
Regenter Myatts Field North Ltd,190715.44
Majedie Asset Management Ltd,178295.87
Mosaic Clubhouse,168475.80
National Fostering Agency,168210.00
South Thames Crossroads,166666.00
Norbury Property Services (London) Ltd,156114.74
Northgate Information Solutions Uk Ltd,146350.00
Quinn London Limited,140650.00
Europa Nationwide Technical Services Ltd,130212.09
Lambert Smith Hampton,129244.97
D Singh Properties Ltd TA DS Properties,126641.39
Cmg Homes Ltd,126452.18
Interserve Technical Services Ltd,125981.27
Anthony Gold Lerman & Muirhead,125605.00
Edf Energy Plc,124089.78
The Fostering Partnership,123717.94
Astra Homes Ltd,123508.55
CT Plus,117285.45
Enara Limited,112428.74
L'Arche Lambeth Community,112164.07
Solor Care Group Ltd,106141.19
North Hill House Priory,105602.60
EPS Maintenance,104558.81
SCC INTERNATIONAL LTD,103385.00
Newham House Supporting People Ltd,101290.80
The Dulwich Care Centre,99409.05
Look Ahead Housing & Care Ltd,99070.08
Insight Investment,99069.34
Sense,98859.97
Curocare Ltd,97786.69
Capita Business Services Ltd,95652.93
Medequip Assistive Technology Ltd,93196.03
Broadway,93028.79
Woodbar Ltd,90318.78
Sanctuary Care Ltd,87750.88
F S Properties,86843.72
Kindercare Fostering Ltd,85146.85
KWSH Ltd,84592.30
The Rathbone Centre,84190.63
Hytyme Ltd,81536.00
Sherico Care Homes Ltd,81085.84
AmicusHorizon,80116.90
Frankham Consultancy Group Ltd,79671.65
Care Unlimited,78921.75
Cognithan Ltd,78482.53
Castle Care,76527.31
Galaxy Lettings Ltd,75777.00
Breyer Group Plc,75334.00
One Step At A Time,73652.76
Single Homeless Project,72640.00
St Michaels Fellowship,70813.00
Children First Fostering Agency Ltd,68982.21
Banya Family Placement Agency,68774.73
Fisher Meredith Solicitors,66540.88
Crownwise Ltd,66025.03
KWAS Ltd,65133.40
Royal Bank Of Scotland Plc,64248.76
Caretech Community Services Ltd,63998.47
Cowley EMB Ltd,62653.20
Clyde & Co,62304.79
Alphatrack Systems Ltd,61557.69
Eversheds LLP,61022.75
Kelly Executive,60642.60
W G Wigginton Ltd,60384.47
Lambeth Mencap,59441.44
Idox Software Ltd,58750.00
Specialist Computer Centers Plc,58591.28
Talis Information Ltd,56292.00
Gold Knight Trading Ltd,55637.48
BUPA Care Homes,54781.67
BHHI,54309.28
Quality Protects Children Ltd,54028.57
NPS Property† Consultants Ltd,54000.00
Waterloo Quarter Business Alliance,53894.69
St Mungo Association,53549.96
229 Mitcham Lane Ltd,53283.50
Supported Fostering Services,53053.91
Four Seasons Health Care Ltd,53019.06
Blizz Hotels,52873.22
Frontier Support Services Ltd,50970.08
Refuge,49863.60
Families For Children (South) Ltd,49834.43
Ethelbert Homes,49365.38
ICON Display Ltd,49040.97
The Stroke Association,49000.00
South London YMCA,47042.31
Black Cultural Archives,46881.00
St Edward's School,46266.00
Barnardo Services Ltd,45675.00
Mcrae Residential Care Services,45000.00
Centrepoint Soho Ltd,44439.84
Laurels Care Centre Ltd,44428.11
The Frances Taylor Foundation,44187.76
Heath Farm Family Services,44093.10
Orland Limited & Blue Chip Trading Limited No 2 Account,43752.00
Holistic Community Care Ltd,42828.36
Holmdene Housing Ltd,41908.85
Greater London Fostering,41396.70
Inclusive Care Support,41272.09
Chatsworth Care,40965.00
Clifton Manor,39251.02
URS Infrastructure & Environment UK Ltd,39239.45
Family Mosaic,39120.24
Kirkstall Lodge Ltd,38582.72
High Quality Lifestyles,38534.86
Sherwood Cars Ltd.,38299.50
Childcare Vouchers Ltd.,38263.06
Scottish Life,38055.76
St Christophers Fellowship,37373.46
Nas Services Ltd,37284.94
Stockwell Partnership,37037.00
AP Thompson Sports Engineering Limited,36450.74
Supreme Education PLC,36113.12
Sustrans Ltd,35000.00
Southern Care Ltd,34367.15
Unique Personnel (Uk) Ltd,33668.34
Oasis Care And Training Agency,33590.47
Riverside ECHG,33573.46
R@W Logistics Ltd,33435.60
Tumblewood Community,33428.40
Southern Adolescent Care Services Ltd,33000.17
Pellings LLP,32729.15
Cartel Security Systems Plc,32700.99
Deepdene Care Limited,31695.26
Youth Justice Board For England And Wales,31100.70
Emo Oil Ltd,30929.99
